Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Golden Smash 7663,The Icons,"Gin, Black Salt, Lime Juice, Lime Juice","Combine Gin, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,TOIT (Chennai)
Masala Punch 7664,Signature,"Tequila, Jaggery, Ginger Ale, Lime Juice","Combine Tequila, Jaggery, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,Grumps (Mumbai)
Jungle Mule 7665,Tropical,"Brandy, Jaljeera, Soda, Lime Juice","Combine Brandy, Jaljeera, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Lair (Chennai)
Jungle Martini 7666,Signature,"Gin, Cardamom, Lime Juice, Lime Juice","Combine Gin, Cardamom, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Cinnamon Stick.",Cinnamon Stick,Rocks Glass,Petisco (Kolkata)
Desi Mojito 7667,Signature,"Mezcal, Ginger, Agave Nectar, Lime Juice","Combine Mezcal, Ginger, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,The Library Bar (Bangalore)
Emerald Martini 7668,Savory & Bold,"Whisky, Cardamom, Coconut Water, Lime Juice","Combine Whisky, Cardamom, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Monkey Bar (Chennai)
Silver Sour 7669,Himalayan Flavors,"Gin, Rose Syrup, Cranberry Juice, Lime Juice","Combine Gin, Rose Syrup, and Cranberry Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Bira 91 Taproom (Pune)
Urban Punch 7670,Twisted Classics,"Mezcal, Aam Panna, Cranberry Juice, Lime Juice","Combine Mezcal, Aam Panna, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,Petisco (Chennai)
Cool Fizz 7671,Himalayan Flavors,"Vodka, Masala Chai, Ginger Ale, Lime Juice","Combine Vodka, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Soy Como Soy (Gurgaon)
Sunset Sour 7672,Himalayan Flavors,"Tequila, Jaljeera, Lime Juice, Lime Juice","Combine Tequila, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,Slow Tide (Bangalore)
Masala Mojito 7673,Tropical,"Mezcal, Cumin, Agave Nectar, Lime Juice","Combine Mezcal, Cumin, and Agave Nectar in a shaker with ice. Shake well and strain into a Martini Glass. Top with Coffee Beans.",Coffee Beans,Martini Glass,Nutcase Etc (Hyderabad)
Emerald Collins 7674,Signature,"Brandy, Kokum, Ginger Ale, Lime Juice","Combine Brandy, Kokum, and Ginger Ale in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Petisco (Bangalore)
Rustic Tonic 7675,South Inspired,"Vodka, Jaggery, Tonic Water, Lime Juice","Combine Vodka, Jaggery, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,The Beer Cafe (Hyderabad)
Masala Punch 7676,South Inspired,"Brandy, Jaljeera, Agave Nectar, Lime Juice","Combine Brandy, Jaljeera, and Agave Nectar in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lemon Peel.",Lemon Peel,Jam Jar,Little Bit Sober (Kolkata)
Temple Punch 7677,Signature,"Tequila, Saffron, Sugar Syrup, Lime Juice","Combine Tequila, Saffron, and Sugar Syrup in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Curry Leaf.",Curry Leaf,Tiki Glass,Elephant & Co (Hyderabad)
Silver Mule 7678,Signature,"Mezcal, Aam Panna, Orange Juice, Lime Juice","Combine Mezcal, Aam Panna, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lime Wheel.",Lime Wheel,Tiki Glass,Olterra (Kolkata)
Desi Smash 7679,Twisted Classics,"Rum, Jaggery, Soda, Lime Juice","Combine Rum, Jaggery, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,Jamming Goat (Goa)
Masala Collins 7680,Himalayan Flavors,"Rum, Tamarind, Lime Juice, Lime Juice","Combine Rum, Tamarind, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,The Bombay Canteen (Delhi)
Silver Punch 7681,Savory & Bold,"Rum, Filter Kaapi, Ginger Ale, Lime Juice","Combine Rum, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Little Bit Sober (Gurgaon)
Sunrise Tonic 7682,Himalayan Flavors,"Vodka, Tamarind, Soda, Lime Juice","Combine Vodka, Tamarind, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,The Bombay Canteen (Mumbai)
Emerald Martini 7683,The Icons,"Tequila, Betel Leaf, Lime Juice, Lime Juice","Combine Tequila, Betel Leaf, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Whisky Samba (Goa)
Royal Sour 7684,Savory & Bold,"Brandy, Himalayan Honey, Tonic Water, Lime Juice","Combine Brandy, Himalayan Honey, and Tonic Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,Bar Tesouro (Gurgaon)
Golden Sling 7685,The Icons,"Tequila, Curry Leaves, Coconut Water, Lime Juice","Combine Tequila, Curry Leaves, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,Nutcase Etc (Delhi)
Sunrise Mule 7686,Himalayan Flavors,"Mezcal, Rose Syrup, Orange Juice, Lime Juice","Combine Mezcal, Rose Syrup, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,Cobbler & Crew (Chennai)
Emerald Punch 7687,The Icons,"Tequila, Rose Syrup, Sugar Syrup, Lime Juice","Combine Tequila, Rose Syrup, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Little Bit Sober (Pune)
Silver Tonic 7688,Himalayan Flavors,"Mezcal, Black Salt, Orange Juice, Lime Juice","Combine Mezcal, Black Salt, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,The Beer Cafe (Mumbai)
Cool Martini 7689,Signature,"Tequila, Jaljeera, Pineapple Juice, Lime Juice","Combine Tequila, Jaljeera, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Social (Kolkata)
Ruby Sling 7690,South Inspired,"Brandy, Cardamom, Ginger Ale, Lime Juice","Combine Brandy, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Malaka Spice (Gurgaon)
Royal Sour 7691,Twisted Classics,"Mezcal, Rose Syrup, Tonic Water, Lime Juice","Combine Mezcal, Rose Syrup, and Tonic Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Muro (Bangalore)
Sunrise Punch 7692,Signature,"Gin, Kokum, Agave Nectar, Lime Juice","Combine Gin, Kokum, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,TOIT (Mumbai)
Cool Martini 7693,Signature,"Rum, Saffron, Agave Nectar, Lime Juice","Combine Rum, Saffron, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Pandan Club (Noida)
Masala Punch 7694,Signature,"Mezcal, Ginger, Coconut Water, Lime Juice","Combine Mezcal, Ginger, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,KooX (Hyderabad)
Rustic Tonic 7695,Tropical,"Vodka, Jaljeera, Lime Juice, Lime Juice","Combine Vodka, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Curry Leaf.",Curry Leaf,Rocks Glass,Elephant & Co (Gurgaon)
Urban Fizz 7696,Twisted Classics,"Gin, Cardamom, Soda, Lime Juice","Combine Gin, Cardamom, and Soda in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,Little Bit Sober (Chennai)
Sunrise Mojito 7697,Himalayan Flavors,"Whisky, Rose Syrup, Agave Nectar, Lime Juice","Combine Whisky, Rose Syrup, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Cinnamon Stick.",Cinnamon Stick,Copper Mug,Petisco (Gurgaon)
Silver Sour 7698,South Inspired,"Gin, Saffron, Lime Juice, Lime Juice","Combine Gin, Saffron, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,AM PM (Noida)
Masala Smash 7699,South Inspired,"Rum, Cardamom, Lime Juice, Lime Juice","Combine Rum, Cardamom, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Lair (Pune)
Coastal Smash 7700,Himalayan Flavors,"Rum, Cardamom, Lime Juice, Lime Juice","Combine Rum, Cardamom, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Cinnamon Stick.",Cinnamon Stick,Coupe,Room Two (Goa)
Cool Sling 7701,Himalayan Flavors,"Whisky, Curry Leaves, Orange Juice, Lime Juice","Combine Whisky, Curry Leaves, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Roxie (Hyderabad)
Midnight Martini 7702,Savory & Bold,"Vodka, Masala Chai, Orange Juice, Lime Juice","Combine Vodka, Masala Chai, and Orange Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,The Beer Cafe (Delhi)
Golden Smash 7703,South Inspired,"Tequila, Aam Panna, Cranberry Juice, Lime Juice","Combine Tequila, Aam Panna, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,Room One (Delhi)
Jungle Mojito 7704,Himalayan Flavors,"Rum, Aam Panna, Pineapple Juice, Lime Juice","Combine Rum, Aam Panna, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Malaka Spice (Gurgaon)
Masala Sour 7705,Twisted Classics,"Tequila, Indian Lime Pickle, Coconut Water, Lime Juice","Combine Tequila, Indian Lime Pickle, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,The Beer Cafe (Noida)
Golden Mojito 7706,South Inspired,"Mezcal, Masala Chai, Sugar Syrup, Lime Juice","Combine Mezcal, Masala Chai, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Indian Accent (Delhi)
Jungle Fizz 7707,Himalayan Flavors,"Vodka, Rose Syrup, Ginger Ale, Lime Juice","Combine Vodka, Rose Syrup, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,Windmills (Hyderabad)
Emerald Sling 7708,Twisted Classics,"Gin, Cumin, Ginger Ale, Lime Juice","Combine Gin, Cumin, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,Lair (Pune)
Jungle Martini 7709,Twisted Classics,"Tequila, Jaggery, Tonic Water, Lime Juice","Combine Tequila, Jaggery, and Tonic Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Dali & Gala (Hyderabad)
Coastal Mojito 7710,Twisted Classics,"Mezcal, Kokum, Lime Juice, Lime Juice","Combine Mezcal, Kokum, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Olterra (Gurgaon)
Urban Fizz 7711,Twisted Classics,"Tequila, Tamarind, Sugar Syrup, Lime Juice","Combine Tequila, Tamarind, and Sugar Syrup in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Cock & Bull (Hyderabad)
Monsoon Punch 7712,Twisted Classics,"Gin, Himalayan Honey, Ginger Ale, Lime Juice","Combine Gin, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Lair (Chennai)
Royal Collins 7713,South Inspired,"Brandy, Aam Panna, Soda, Lime Juice","Combine Brandy, Aam Panna, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Mint Sprig.",Mint Sprig,Copper Mug,PCO (Gurgaon)
Monsoon Fizz 7714,Signature,"Rum, Betel Leaf, Ginger Ale, Lime Juice","Combine Rum, Betel Leaf, and Ginger Ale in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Petisco (Chennai)
Rustic Collins 7715,Savory & Bold,"Vodka, Black Salt, Coconut Water, Lime Juice","Combine Vodka, Black Salt, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Ping’s (Hyderabad)
Urban Martini 7716,Twisted Classics,"Rum, Jaljeera, Cranberry Juice, Lime Juice","Combine Rum, Jaljeera, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Sidecar (Pune)
Spicy Mule 7717,South Inspired,"Vodka, Cardamom, Pineapple Juice, Lime Juice","Combine Vodka, Cardamom, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,Bar Kin-Rü (Bangalore)
Cool Sour 7718,Tropical,"Brandy, Betel Leaf, Sugar Syrup, Lime Juice","Combine Brandy, Betel Leaf, and Sugar Syrup in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Soy Como Soy (Mumbai)
Desi Tonic 7719,Himalayan Flavors,"Whisky, Jaljeera, Lime Juice, Lime Juice","Combine Whisky, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Pineapple Wedge.",Pineapple Wedge,Wine Glass,Monkey Bar (Mumbai)
Desi Tonic 7720,Signature,"Gin, Jaljeera, Pineapple Juice, Lime Juice","Combine Gin, Jaljeera, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Indian Accent (Gurgaon)
Spicy Sling 7721,Savory & Bold,"Tequila, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Tequila, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Masque (Delhi)
Emerald Sling 7722,Signature,"Whisky, Himalayan Honey, Soda, Lime Juice","Combine Whisky, Himalayan Honey, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lime Wheel.",Lime Wheel,Jam Jar,Bar Kin-Rü (Chennai)
Ruby Mule 7723,Signature,"Mezcal, Rose Syrup, Orange Juice, Lime Juice","Combine Mezcal, Rose Syrup, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,The Bombay Canteen (Pune)
Masala Smash 7724,Tropical,"Mezcal, Jaljeera, Ginger Ale, Lime Juice","Combine Mezcal, Jaljeera, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Mint Sprig.",Mint Sprig,Martini Glass,Cock & Bull (Noida)
Jungle Punch 7725,South Inspired,"Whisky, Cumin, Sugar Syrup, Lime Juice","Combine Whisky, Cumin, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Sidecar (Noida)
Sunrise Smash 7726,South Inspired,"Rum, Cumin, Cranberry Juice, Lime Juice","Combine Rum, Cumin, and Cranberry Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Grumps (Goa)
Silver Mojito 7727,Himalayan Flavors,"Brandy, Aam Panna, Pineapple Juice, Lime Juice","Combine Brandy, Aam Panna, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lime Wheel.",Lime Wheel,Wine Glass,Cal-On (Goa)
Temple Mule 7728,Tropical,"Vodka, Kokum, Soda, Lime Juice","Combine Vodka, Kokum, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Malaka Spice (Bangalore)
Midnight Sling 7729,Himalayan Flavors,"Gin, Tamarind, Sugar Syrup, Lime Juice","Combine Gin, Tamarind, and Sugar Syrup in a shaker with ice. Shake well and strain into a Coupe. Top with Mint Sprig.",Mint Sprig,Coupe,Monkey Bar (Delhi)
Emerald Punch 7730,Signature,"Vodka, Jaljeera, Agave Nectar, Lime Juice","Combine Vodka, Jaljeera, and Agave Nectar in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,Elephant & Co (Bangalore)
Rustic Collins 7731,Twisted Classics,"Whisky, Curry Leaves, Agave Nectar, Lime Juice","Combine Whisky, Curry Leaves, and Agave Nectar in a shaker with ice. Shake well and strain into a Martini Glass. Top with Coffee Beans.",Coffee Beans,Martini Glass,TOIT (Gurgaon)
Temple Collins 7732,Savory & Bold,"Vodka, Indian Lime Pickle, Soda, Lime Juice","Combine Vodka, Indian Lime Pickle, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Conversation Room (Goa)
Rustic Mule 7733,Twisted Classics,"Mezcal, Ginger, Sugar Syrup, Lime Juice","Combine Mezcal, Ginger, and Sugar Syrup in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,The Bombay Canteen (Hyderabad)
Temple Punch 7734,The Icons,"Gin, Cumin, Orange Juice, Lime Juice","Combine Gin, Cumin, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Grumps (Delhi)
Jungle Mojito 7735,Savory & Bold,"Whisky, Jaljeera, Orange Juice, Lime Juice","Combine Whisky, Jaljeera, and Orange Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Conversation Room (Mumbai)
Masala Martini 7736,South Inspired,"Brandy, Jaggery, Sugar Syrup, Lime Juice","Combine Brandy, Jaggery, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Joseph Bar (Mumbai)
Coastal Mojito 7737,Twisted Classics,"Whisky, Black Salt, Coconut Water, Lime Juice","Combine Whisky, Black Salt, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Sorano (Delhi)
Silver Tonic 7738,Tropical,"Brandy, Curry Leaves, Pineapple Juice, Lime Juice","Combine Brandy, Curry Leaves, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Slow Tide (Bangalore)
